country_region_nk,file_name,descriptions,image_path
weu,ghent,"Ghent, Belgium",images/weu/weu_ghent.JPG
weu,toulouse,"La ville rose, France",images/weu/weu_toulouse.JPG
seas,batu_cave,"Batu Caves, Malaysia",images/seas/seas_batu_cave.JPG
seu,dubrovnik,"Dubrovnik's Coastal Elegance, Croatia",images/seu/seu_dubrovnik.JPG
seas,siam_reap_tree,"Lush Trees, Cambodia",images/seas/seas_siam_reap_tree.JPG
seas,twin_tower,"The Twin Towers, Malaysia",images/seas/seas_twin_tower.JPG
weu,biarritz,"Biarritz's Coastal Bliss, France",images/weu/weu_biarritz.JPG
seu,dubrovnik_port,"Dubrovnik's Maritime Charm, Croatia",images/seu/seu_dubrovnik_port.JPG
weu,home_lake,"Serenity by the Lakeside, France",images/weu/weu_home_lake.JPG
weu,giants_causeway,"The Giants Causeway, N.Ireland",images/weu/weu_giants_causeway.JPG
seu,zaragoza_plaza,Zaragoza's Plaza del Pilar,images/seu/seu_zaragoza_plaza.JPG
seu,mostar,Mostar's Old Bridge,images/seu/seu_mostar.JPG
seu,sansebastian,"Turtle Islans San Sebastian, Spain",images/seu/seu_sansebastian.JPG
seas,jogja_horse,"Jogja's Countryside, Indonesia",images/seas/seas_jogja_horse.JPG
seas,jogja_boats,"Jogja's Waterways, Indonesia",images/seas/seas_jogja_boats.JPG
weu,vienna,"Vienna's Imperial Grandeur, Austria",images/weu/weu_vienna.JPG
weu,stives,"St. Ives, United Kingdom",images/weu/weu_stives.JPG
seas,merdeka_square,"Merdeka Square, Malaysia",images/seas/seas_merdeka_square.JPG
seas,pagoda,"Pagoda, Thailand ",images/seas/seas_pagoda.JPG
weu,calanques,"Calanques National Park, France",images/weu/weu_calanques.JPG
weu,pic_du_midi_d_ossau,"Pic du Midi d'Ossau, France",images/weu/weu_pic_du_midi_d_ossau.JPG
eeu,night_budapest,Budapest's Nighttime Glow,images/eeu/eeu_night_budapest.JPG
seas,wat_phra_kaew,Wat Phra Kaew,images/seas/seas_wat_phra_kaew.JPG
was,sultan_qaboos_grand_mosque,"Beautiful Corridor at Sultan Qaboos Mosque, Oman",images/was/was_sultan_qaboos_grand_mosque.JPG
seas,cambodia_ruin,Enigmatic Ruins of Cambodia's Historical Past,images/seas/seas_cambodia_ruin.JPG
seas,hochiminh_traffic,"Bustling Traffic in Ho Chi Minh City, Vietnam",images/seas/seas_hochiminh_traffic.JPG
seas,phnompenh,Phnom Penh Cambodia,images/seas/seas_phnompenh.JPG
seu,catedral_de_granada,Granada Cathedral,images/seu/seu_catedral_de_granada.JPG
was,abudhabi,Modern Oasis: Abu Dhabi,images/was/was_abudhabi.JPG
eeu,colorful_gdansk,"Vibrant Gdansk, Poland",images/eeu/eeu_colorful_gdansk.JPG
was,clock_tower_makkah_2,"The Clock Towers, KSA",images/was/was_clock_tower_makkah_2.JPG
neu,blacksandbeach,Reynisfjara Black Sand Beach ,images/neu/neu_blacksandbeach.JPG
neu,waterfall,"Winter Cascade, Kvernuvoss",images/neu/neu_waterfall.JPG
neu,skogafoss,Thundering Icelandic Marvel,images/neu/neu_skogafoss.JPG
neu,diamondbeach,Ice Jewels Shoreline,images/neu/neu_diamondbeach.JPG
neu,reindeer,"Reindeer Wonderland, Tromso",images/neu/neu_reindeer.JPG
neu,person_snowy,Solitude in the Storm,images/neu/neu_person_snowy.JPG
neu,glacier,Jökulsárlón Glacier,images/neu/neu_glacier.JPG
cas,bukhara,"Timeless Beauty: Bukhara, Uzbekistan",images/cas/cas_bukhara.JPG
